"file","Time","Well","Measurements","Growth_Media","Strain_Names"
"GC_A123/sorted1",0,"C2",-0.0311,"Fly","PAO1"
"GC_A123/sorted1",0,"C3",-0.0197,"Fly","PAO1"
"GC_A123/sorted1",0,"C4",-0.00459999999999999,"Fly","PAO1"
"GC_A123/sorted1",0,"C5",-0.000199999999999978,"Fly","phzA"
"GC_A123/sorted1",0,"C6",-0.0156,"Fly","phzA"
"GC_A123/sorted1",0,"C7",-0.0172,"Fly","phzA"
"GC_A123/sorted1",0,"C8",-0.0217,"Fly","phzA"
"GC_A123/sorted1",0,"C9",0.027,"Fly","phzB"
"GC_A123/sorted1",0,"C10",0.0561,"Fly","phzB"
"GC_A123/sorted1",0,"C11",0.0328,"Fly","phzB"
"GC_A123/sorted1",0,"E2",-0.0261,"Fly","plcN"
"GC_A123/sorted1",0,"E3",-0.0197,"Fly","plcN"
"GC_A123/sorted1",0,"E4",0.00970000000000004,"Fly","plcN"
"GC_A123/sorted1",0,"E5",0.00190000000000001,"Fly","hcnB"
"GC_A123/sorted1",0,"E6",-0.00819999999999999,"Fly","hcnB"
"GC_A123/sorted1",0,"E7",-0.0146,"Fly","hcnB"
"GC_A123/sorted1",0,"E8",-0.0145,"Fly","hcnB"
"GC_A123/sorted1",0,"E9",0.00820000000000004,"Fly","mexB"
"GC_A123/sorted1",0,"E10",0.0242,"Fly","mexB"
"GC_A123/sorted1",0,"E11",0.0631,"Fly","mexB"
"GC_A123/sorted1",0,"G2",-0.0289,"Fly","aprX"
"GC_A123/sorted1",0,"G3",-0.0368,"Fly","aprX"
"GC_A123/sorted1",0,"G4",0.0111,"Fly","aprX"
"GC_A123/sorted1",0,"G5",-0.00189999999999996,"Fly","aprX"
"GC_A123/sorted1",0,"G6",-0.0227,"Fly","OBC2"
"GC_A123/sorted1",0,"G7",0.0104,"Fly","OBC2"
"GC_A123/sorted1",0,"G8",0.00440000000000002,"Fly","OBC2"
"GC_A123/sorted1",0,"G9",0.0275,"Fly","phzC"
"GC_A123/sorted1",0,"G10",0.0458,"Fly","phzC"
"GC_A123/sorted1",0,"G11",0.0461,"Fly","phzC"
"GC_A123/sorted1",0.25,"C2",-0.0314,"Fly","PAO1"
"GC_A123/sorted1",0.25,"C3",-0.0157,"Fly","PAO1"
"GC_A123/sorted1",0.25,"C4",-0.00639999999999996,"Fly","PAO1"
"GC_A123/sorted1",0.25,"C5",-0.00369999999999998,"Fly","phzA"
"GC_A123/sorted1",0.25,"C6",-0.0206,"Fly","phzA"
"GC_A123/sorted1",0.25,"C7",-0.0258,"Fly","phzA"
"GC_A123/sorted1",0.25,"C8",-0.0303,"Fly","phzA"
"GC_A123/sorted1",0.25,"C9",0.0153,"Fly","phzB"
"GC_A123/sorted1",0.25,"C10",0.0463,"Fly","phzB"
"GC_A123/sorted1",0.25,"C11",0.0203,"Fly","phzB"
"GC_A123/sorted1",0.25,"E2",-0.027,"Fly","plcN"
"GC_A123/sorted1",0.25,"E3",-0.0217,"Fly","plcN"
"GC_A123/sorted1",0.25,"E4",0.00700000000000001,"Fly","plcN"
"GC_A123/sorted1",0.25,"E5",-0.00289999999999996,"Fly","hcnB"
"GC_A123/sorted1",0.25,"E6",-0.0155,"Fly","hcnB"
"GC_A123/sorted1",0.25,"E7",-0.0189,"Fly","hcnB"
"GC_A123/sorted1",0.25,"E8",-0.0178,"Fly","hcnB"
"GC_A123/sorted1",0.25,"E9",0.000900000000000012,"Fly","mexB"
"GC_A123/sorted1",0.25,"E10",0.0239,"Fly","mexB"
"GC_A123/sorted1",0.25,"E11",0.0581,"Fly","mexB"
"GC_A123/sorted1",0.25,"G2",-0.0278,"Fly","aprX"
"GC_A123/sorted1",0.25,"G3",-0.0416,"Fly","aprX"
"GC_A123/sorted1",0.25,"G4",0.00930000000000003,"Fly","aprX"
"GC_A123/sorted1",0.25,"G5",-0.00239999999999996,"Fly","aprX"
"GC_A123/sorted1",0.25,"G6",-0.0245,"Fly","OBC2"
"GC_A123/sorted1",0.25,"G7",0.000900000000000012,"Fly","OBC2"
"GC_A123/sorted1",0.25,"G8",-0.00719999999999998,"Fly","OBC2"
"GC_A123/sorted1",0.25,"G9",0.0128,"Fly","phzC"
"GC_A123/sorted1",0.25,"G10",0.036,"Fly","phzC"
"GC_A123/sorted1",0.25,"G11",0.0357,"Fly","phzC"
"GC_A123/sorted1",0.5,"C2",-0.0148,"Fly","PAO1"
"GC_A123/sorted1",0.5,"C3",0.0076,"Fly","PAO1"
"GC_A123/sorted1",0.5,"C4",0.0264,"Fly","PAO1"
"GC_A123/sorted1",0.5,"C5",0.033,"Fly","phzA"
"GC_A123/sorted1",0.5,"C6",0.0179,"Fly","phzA"
"GC_A123/sorted1",0.5,"C7",0.0413,"Fly","phzA"
"GC_A123/sorted1",0.5,"C8",0.0392,"Fly","phzA"
"GC_A123/sorted1",0.5,"C9",0.0758,"Fly","phzB"
"GC_A123/sorted1",0.5,"C10",0.0917000000000001,"Fly","phzB"
"GC_A123/sorted1",0.5,"C11",0.0769,"Fly","phzB"
"GC_A123/sorted1",0.5,"E2",-0.0252,"Fly","plcN"
"GC_A123/sorted1",0.5,"E3",-0.022,"Fly","plcN"
"GC_A123/sorted1",0.5,"E4",0.0055,"Fly","plcN"
"GC_A123/sorted1",0.5,"E5",-0.000900000000000012,"Fly","hcnB"
"GC_A123/sorted1",0.5,"E6",-0.00979999999999998,"Fly","hcnB"
"GC_A123/sorted1",0.5,"E7",0.000700000000000034,"Fly","hcnB"
"GC_A123/sorted1",0.5,"E8",0.0234,"Fly","hcnB"
"GC_A123/sorted1",0.5,"E9",0.0563,"Fly","mexB"
"GC_A123/sorted1",0.5,"E10",0.0498,"Fly","mexB"
"GC_A123/sorted1",0.5,"E11",0.0774,"Fly","mexB"
"GC_A123/sorted1",0.5,"G2",-0.0356,"Fly","aprX"
"GC_A123/sorted1",0.5,"G3",-0.0421,"Fly","aprX"
"GC_A123/sorted1",0.5,"G4",0.0071,"Fly","aprX"
"GC_A123/sorted1",0.5,"G5",-0.00259999999999999,"Fly","aprX"
"GC_A123/sorted1",0.5,"G6",-0.0208,"Fly","OBC2"
"GC_A123/sorted1",0.5,"G7",0.00309999999999999,"Fly","OBC2"
"GC_A123/sorted1",0.5,"G8",-0.00659999999999999,"Fly","OBC2"
"GC_A123/sorted1",0.5,"G9",0.0096,"Fly","phzC"
"GC_A123/sorted1",0.5,"G10",0.0325,"Fly","phzC"
"GC_A123/sorted1",0.5,"G11",0.0342,"Fly","phzC"
"GC_A123/sorted1",0.75,"C2",-0.0157,"Fly","PAO1"
"GC_A123/sorted1",0.75,"C3",0.00490000000000002,"Fly","PAO1"
"GC_A123/sorted1",0.75,"C4",0.0271,"Fly","PAO1"
"GC_A123/sorted1",0.75,"C5",0.0342,"Fly","phzA"
"GC_A123/sorted1",0.75,"C6",0.0191,"Fly","phzA"
"GC_A123/sorted1",0.75,"C7",0.0444,"Fly","phzA"
"GC_A123/sorted1",0.75,"C8",0.0377,"Fly","phzA"
"GC_A123/sorted1",0.75,"C9",0.0729,"Fly","phzB"
"GC_A123/sorted1",0.75,"C10",0.0946,"Fly","phzB"
"GC_A123/sorted1",0.75,"C11",0.066,"Fly","phzB"
"GC_A123/sorted1",0.75,"E2",-0.0271,"Fly","plcN"
"GC_A123/sorted1",0.75,"E3",-0.0242,"Fly","plcN"
"GC_A123/sorted1",0.75,"E4",0.002,"Fly","plcN"
"GC_A123/sorted1",0.75,"E5",-0.0015,"Fly","hcnB"
"GC_A123/sorted1",0.75,"E6",0.000400000000000011,"Fly","hcnB"
"GC_A123/sorted1",0.75,"E7",0.0246,"Fly","hcnB"
"GC_A123/sorted1",0.75,"E8",0.0352,"Fly","hcnB"
"GC_A123/sorted1",0.75,"E9",0.0627,"Fly","mexB"
"GC_A123/sorted1",0.75,"E10",0.0764,"Fly","mexB"
"GC_A123/sorted1",0.75,"E11",0.0753,"Fly","mexB"
"GC_A123/sorted1",0.75,"G2",-0.0363,"Fly","aprX"
"GC_A123/sorted1",0.75,"G3",-0.0428,"Fly","aprX"
"GC_A123/sorted1",0.75,"G4",0.0055,"Fly","aprX"
"GC_A123/sorted1",0.75,"G5",-0.00509999999999999,"Fly","aprX"
"GC_A123/sorted1",0.75,"G6",-0.0238,"Fly","OBC2"
"GC_A123/sorted1",0.75,"G7",0.00290000000000001,"Fly","OBC2"
"GC_A123/sorted1",0.75,"G8",-0.00650000000000001,"Fly","OBC2"
"GC_A123/sorted1",0.75,"G9",0.0123,"Fly","phzC"
"GC_A123/sorted1",0.75,"G10",0.0338,"Fly","phzC"
"GC_A123/sorted1",0.75,"G11",0.0327,"Fly","phzC"
"GC_A123/sorted1",1,"C2",-0.0146,"Fly","PAO1"
"GC_A123/sorted1",1,"C3",0.00800000000000001,"Fly","PAO1"
"GC_A123/sorted1",1,"C4",0.0272,"Fly","PAO1"
"GC_A123/sorted1",1,"C5",0.0334,"Fly","phzA"
"GC_A123/sorted1",1,"C6",0.0199,"Fly","phzA"
"GC_A123/sorted1",1,"C7",0.0429,"Fly","phzA"
"GC_A123/sorted1",1,"C8",0.0373,"Fly","phzA"
"GC_A123/sorted1",1,"C9",0.0735,"Fly","phzB"
"GC_A123/sorted1",1,"C10",0.0914,"Fly","phzB"
"GC_A123/sorted1",1,"C11",0.0652,"Fly","phzB"
"GC_A123/sorted1",1,"E2",-0.0286,"Fly","plcN"
"GC_A123/sorted1",1,"E3",-0.0256,"Fly","plcN"
"GC_A123/sorted1",1,"E4",-0.000900000000000012,"Fly","plcN"
"GC_A123/sorted1",1,"E5",-0.00109999999999999,"Fly","hcnB"
"GC_A123/sorted1",1,"E6",0.00209999999999999,"Fly","hcnB"
"GC_A123/sorted1",1,"E7",0.0293,"Fly","hcnB"
"GC_A123/sorted1",1,"E8",0.0359,"Fly","hcnB"
"GC_A123/sorted1",1,"E9",0.0627,"Fly","mexB"
"GC_A123/sorted1",1,"E10",0.0693,"Fly","mexB"
"GC_A123/sorted1",1,"E11",0.0727,"Fly","mexB"
"GC_A123/sorted1",1,"G2",-0.0406,"Fly","aprX"
"GC_A123/sorted1",1,"G3",-0.0438,"Fly","aprX"
"GC_A123/sorted1",1,"G4",0.00700000000000001,"Fly","aprX"
"GC_A123/sorted1",1,"G5",-0.00539999999999996,"Fly","aprX"
"GC_A123/sorted1",1,"G6",-0.023,"Fly","OBC2"
"GC_A123/sorted1",1,"G7",0.00180000000000002,"Fly","OBC2"
"GC_A123/sorted1",1,"G8",-0.00600000000000001,"Fly","OBC2"
"GC_A123/sorted1",1,"G9",0.0109,"Fly","phzC"
"GC_A123/sorted1",1,"G10",0.0336,"Fly","phzC"
"GC_A123/sorted1",1,"G11",0.0309,"Fly","phzC"
"GC_A123/sorted1",1.25,"C2",-0.0141,"Fly","PAO1"
"GC_A123/sorted1",1.25,"C3",0.00730000000000003,"Fly","PAO1"
"GC_A123/sorted1",1.25,"C4",0.0273,"Fly","PAO1"
"GC_A123/sorted1",1.25,"C5",0.0333,"Fly","phzA"
"GC_A123/sorted1",1.25,"C6",0.0191,"Fly","phzA"
"GC_A123/sorted1",1.25,"C7",0.0416,"Fly","phzA"
"GC_A123/sorted1",1.25,"C8",0.0375,"Fly","phzA"
"GC_A123/sorted1",1.25,"C9",0.0714,"Fly","phzB"
"GC_A123/sorted1",1.25,"C10",0.0899,"Fly","phzB"
"GC_A123/sorted1",1.25,"C11",0.063,"Fly","phzB"
