"file","Time","Well","Measurements","Growth_Media","Strain_Names"
"GC_B1/Jan26",0,"C2",0.0377559585492228,"Fly","PAO1"
"GC_B1/Jan26",0,"C3",0.0316559585492228,"Fly","PAO1"
"GC_B1/Jan26",0,"C4",0.0489559585492228,"Fly","PAO1"
"GC_B1/Jan26",0,"C5",0.0102559585492228,"Fly","phzE"
"GC_B1/Jan26",0,"C6",0.00805595854922281,"Fly","phzE"
"GC_B1/Jan26",0,"C7",0.00125595854922278,"Fly","phzE"
"GC_B1/Jan26",0,"C8",0.0217559585492228,"Fly","phzE"
"GC_B1/Jan26",0,"E2",0.0587559585492228,"Fly","phzE"
"GC_B1/Jan26",0,"E3",0.0367559585492228,"Fly","phzE"
"GC_B1/Jan26",0,"E4",0.0260559585492228,"Fly","phzE"
"GC_B1/Jan26",0,"E5",0.00885595854922278,"Fly","phzE"
"GC_B1/Jan26",0,"E6",0.0124559585492228,"Fly","phzF"
"GC_B1/Jan26",0,"E7",0.00365595854922279,"Fly","phzF"
"GC_B1/Jan26",0,"E8",0.0159559585492228,"Fly","phzF"
"GC_B1/Jan26",0,"E9",-0.00984404145077722,"Fly","phzF"
"GC_B1/Jan26",0,"G8",0.0176559585492228,"Fly","phzG"
"GC_B1/Jan26",0,"G9",0.00315595854922279,"Fly","phzG"
"GC_B1/Jan26",0,"G10",0.0201559585492228,"Fly","phzG"
"GC_B1/Jan26",0,"G11",0.0177559585492228,"Fly","phzG"
"GC_B1/Jan26",0.25,"C2",0.0413559585492228,"Fly","PAO1"
"GC_B1/Jan26",0.25,"C3",0.0376559585492228,"Fly","PAO1"
"GC_B1/Jan26",0.25,"C4",0.0474559585492228,"Fly","PAO1"
"GC_B1/Jan26",0.25,"C5",0.0140559585492228,"Fly","phzE"
"GC_B1/Jan26",0.25,"C6",0.0147559585492228,"Fly","phzE"
"GC_B1/Jan26",0.25,"C7",0.0015559585492228,"Fly","phzE"
"GC_B1/Jan26",0.25,"C8",0.0189559585492228,"Fly","phzE"
"GC_B1/Jan26",0.25,"E2",0.0614559585492228,"Fly","phzE"
"GC_B1/Jan26",0.25,"E3",0.0360559585492228,"Fly","phzE"
"GC_B1/Jan26",0.25,"E4",0.0252559585492228,"Fly","phzE"
"GC_B1/Jan26",0.25,"E5",0.0115559585492228,"Fly","phzE"
"GC_B1/Jan26",0.25,"E6",0.00565595854922279,"Fly","phzF"
"GC_B1/Jan26",0.25,"E7",0.00425595854922278,"Fly","phzF"
"GC_B1/Jan26",0.25,"E8",0.0130559585492228,"Fly","phzF"
"GC_B1/Jan26",0.25,"E9",-0.00894404145077721,"Fly","phzF"
"GC_B1/Jan26",0.25,"G8",0.0178559585492228,"Fly","phzG"
"GC_B1/Jan26",0.25,"G9",0.00275595854922278,"Fly","phzG"
"GC_B1/Jan26",0.25,"G10",0.0194559585492228,"Fly","phzG"
"GC_B1/Jan26",0.25,"G11",0.0215559585492228,"Fly","phzG"
"GC_B1/Jan26",0.5,"C2",0.0418559585492228,"Fly","PAO1"
"GC_B1/Jan26",0.5,"C3",0.0344559585492228,"Fly","PAO1"
"GC_B1/Jan26",0.5,"C4",0.0441559585492228,"Fly","PAO1"
"GC_B1/Jan26",0.5,"C5",0.0114559585492228,"Fly","phzE"
"GC_B1/Jan26",0.5,"C6",0.0125559585492228,"Fly","phzE"
"GC_B1/Jan26",0.5,"C7",0.00015595854922279,"Fly","phzE"
