"file","Time","Well","Measurements","Growth_Media","Strain_Names"
"GC_G/G1",0,"C2",-0.0235032989690722,"Fly","PAO1"
"GC_G/G1",0,"C3",0.00339670103092787,"Fly","PAO1"
"GC_G/G1",0,"C4",0.00739670103092788,"Fly","PAO1"
"GC_G/G1",0,"C5",-0.000303298969072163,"Fly","tagQ"
"GC_G/G1",0,"C6",-0.0118032989690721,"Fly","tagQ"
"GC_G/G1",0,"C7",0.0140967010309279,"Fly","tagQ"
"GC_G/G1",0,"C8",0.00159670103092785,"Fly","tssB"
"GC_G/G1",0,"C9",-0.00100329896907214,"Fly","tssB"
"GC_G/G1",0,"C10",-0.00570329896907212,"Fly","tssB"
"GC_G/G1",0,"C11",-0.0241032989690722,"Fly","VgrG1b"
"GC_G/G1",0,"E2",-0.0117032989690721,"Fly","AprA"
"GC_G/G1",0,"E3",-0.00650329896907215,"Fly","AprA"
"GC_G/G1",0,"E4",0.0220967010309279,"Fly","AprA"
"GC_G/G1",0,"E5",-0.00760329896907214,"Fly","pvdL"
"GC_G/G1",0,"E6",0.00289670103092787,"Fly","pvdL"
"GC_G/G1",0,"E7",0.0346967010309279,"Fly","pvdL"
"GC_G/G1",0,"E8",-0.00940329896907216,"Fly","tssM"
"GC_G/G1",0,"E9",0.00309670103092785,"Fly","tssM"
"GC_G/G1",0,"E10",-0.0175032989690722,"Fly","tssM"
"GC_G/G1",0,"E11",-0.0234032989690721,"Fly","VgrG1b"
"GC_G/G1",0,"G2",0.00139670103092787,"Fly","VgrG1a"
"GC_G/G1",0,"G3",0.00399670103092786,"Fly","VgrG1a"
"GC_G/G1",0,"G4",0.00709670103092785,"Fly","VgrG1a"
"GC_G/G1",0,"G5",0.0117967010309278,"Fly","ppkA"
"GC_G/G1",0,"G6",0.0108967010309279,"Fly","ppkA"
"GC_G/G1",0,"G7",-0.00630329896907211,"Fly","ppkA"
"GC_G/G1",0,"G8",-0.0161032989690721,"Fly","GacA"
"GC_G/G1",0,"G9",0.00129670103092788,"Fly","GacA"
"GC_G/G1",0,"G10",-0.0210032989690722,"Fly","GacA"
"GC_G/G1",0,"G11",-0.0211032989690721,"Fly","VgrG1b"
"GC_G/G1",0,"H7",0.00549670103092786,"Fly","tse5"
"GC_G/G1",0,"H8",-0.00060329896907213,"Fly","tse5"
"GC_G/G1",0,"H9",-0.0170032989690722,"Fly","tse5"
"GC_G/G1",0,"H10",-0.00570329896907212,"Fly","tse5"
"GC_G/G1",0.25,"C2",-0.0249032989690721,"Fly","PAO1"
"GC_G/G1",0.25,"C3",0.00179670103092788,"Fly","PAO1"
"GC_G/G1",0.25,"C4",0.00719670103092784,"Fly","PAO1"
"GC_G/G1",0.25,"C5",-0.00320329896907212,"Fly","tagQ"
"GC_G/G1",0.25,"C6",-0.0150032989690722,"Fly","tagQ"
"GC_G/G1",0.25,"C7",0.0117967010309278,"Fly","tagQ"
"GC_G/G1",0.25,"C8",0.00149670103092786,"Fly","tssB"
"GC_G/G1",0.25,"C9",-0.00540329896907216,"Fly","tssB"
"GC_G/G1",0.25,"C10",-0.0125032989690722,"Fly","tssB"
"GC_G/G1",0.25,"C11",-0.0288032989690721,"Fly","VgrG1b"
"GC_G/G1",0.25,"E2",-0.0160032989690722,"Fly","AprA"
"GC_G/G1",0.25,"E3",-0.00540329896907216,"Fly","AprA"
"GC_G/G1",0.25,"E4",0.0212967010309278,"Fly","AprA"
"GC_G/G1",0.25,"E5",-0.0101032989690721,"Fly","pvdL"
"GC_G/G1",0.25,"E6",-0.00060329896907213,"Fly","pvdL"
"GC_G/G1",0.25,"E7",0.0303967010309278,"Fly","pvdL"
"GC_G/G1",0.25,"E8",-0.0108032989690721,"Fly","tssM"
"GC_G/G1",0.25,"E9",-0.000703298969072119,"Fly","tssM"
"GC_G/G1",0.25,"E10",-0.0244032989690721,"Fly","tssM"
"GC_G/G1",0.25,"E11",-0.0269032989690721,"Fly","VgrG1b"
