"file","Time","Well","Measurements","Growth_Media","Strain_Names"
"GC_H/H1",0,"C2",0.00777972508591063,"Fly","PAO1"
"GC_H/H1",0,"C3",-0.00332027491408937,"Fly","PAO1"
"GC_H/H1",0,"C4",0.00737972508591062,"Fly","PAO1"
"GC_H/H1",0,"C5",0.0117797250859106,"Fly","tagR"
"GC_H/H1",0,"C6",0.0135797250859107,"Fly","tagR"
"GC_H/H1",0,"C7",-0.00522027491408938,"Fly","tagR"
"GC_H/H1",0,"C8",0.0103797250859106,"Fly","clpV1"
"GC_H/H1",0,"C9",-0.00602027491408935,"Fly","clpV1"
"GC_H/H1",0,"C10",-0.00252027491408935,"Fly","clpV1"
"GC_H/H1",0,"E2",-0.00702027491408935,"Fly","anr"
"GC_H/H1",0,"E3",-0.00122027491408938,"Fly","anr"
"GC_H/H1",0,"E4",0.0203797250859106,"Fly","anr"
"GC_H/H1",0,"E5",0.00587972508591067,"Fly","VgrG1a"
"GC_H/H1",0,"E6",0.0279797250859106,"Fly","VgrG1a"
"GC_H/H1",0,"E7",0.00187972508591067,"Fly","VgrG1a"
"GC_H/H1",0,"E8",-0.00362027491408934,"Fly","VgrG1b"
"GC_H/H1",0,"E9",0.0126797250859106,"Fly","VgrG1b"
"GC_H/H1",0,"E10",-0.00572027491408938,"Fly","VgrG1b"
"GC_H/H1",0.25,"C2",-0.00682027491408937,"Fly","PAO1"
"GC_H/H1",0.25,"C3",-0.00472027491408938,"Fly","PAO1"
"GC_H/H1",0.25,"C4",0.0105797250859107,"Fly","PAO1"
"GC_H/H1",0.25,"C5",0.0118797250859106,"Fly","tagR"
"GC_H/H1",0.25,"C6",0.0144797250859107,"Fly","tagR"
"GC_H/H1",0.25,"C7",-0.00652027491408935,"Fly","tagR"
"GC_H/H1",0.25,"C8",0.00637972508591061,"Fly","clpV1"
"GC_H/H1",0.25,"C9",-0.00732027491408938,"Fly","clpV1"
"GC_H/H1",0.25,"C10",-0.00412027491408934,"Fly","clpV1"
"GC_H/H1",0.25,"E2",-0.0148202749140894,"Fly","anr"
"GC_H/H1",0.25,"E3",0.00327972508591062,"Fly","anr"
"GC_H/H1",0.25,"E4",0.0162797250859106,"Fly","anr"
"GC_H/H1",0.25,"E5",0.00647972508591066,"Fly","VgrG1a"
"GC_H/H1",0.25,"E6",0.0255797250859107,"Fly","VgrG1a"
"GC_H/H1",0.25,"E7",-0.00472027491408938,"Fly","VgrG1a"
"GC_H/H1",0.25,"E8",-0.00582027491408937,"Fly","VgrG1b"
"GC_H/H1",0.25,"E9",0.00937972508591062,"Fly","VgrG1b"
"GC_H/H1",0.25,"E10",-0.00772027491408933,"Fly","VgrG1b"
"GC_H/H1",0.5,"C2",-0.0114202749140894,"Fly","PAO1"
"GC_H/H1",0.5,"C3",-0.00752027491408935,"Fly","PAO1"
"GC_H/H1",0.5,"C4",0.00947972508591066,"Fly","PAO1"
"GC_H/H1",0.5,"C5",0.0106797250859106,"Fly","tagR"
"GC_H/H1",0.5,"C6",0.00617972508591064,"Fly","tagR"
"GC_H/H1",0.5,"C7",-0.0136202749140893,"Fly","tagR"
"GC_H/H1",0.5,"C8",0.00267972508591063,"Fly","clpV1"
"GC_H/H1",0.5,"C9",-0.00992027491408937,"Fly","clpV1"
"GC_H/H1",0.5,"C10",-0.00942027491408937,"Fly","clpV1"
"GC_H/H1",0.5,"E2",-0.0154202749140894,"Fly","anr"
"GC_H/H1",0.5,"E3",-0.00302027491408935,"Fly","anr"
