"file","Time","Well","Measurements","Growth_Media","Strain_Names"
"GC_I/I1",0,"A1",0.2671,"LB","PAO1"
"GC_I/I1",0,"A2",0.2752,"LB","PAO1"
"GC_I/I1",0,"A3",0.2671,"LB","PAO1"
"GC_I/I1",0,"A4",0.3052,"LB","tse5"
"GC_I/I1",0,"A5",0.2963,"LB","tse5"
"GC_I/I1",0,"A6",0.3176,"LB","tse5"
"GC_I/I1",0,"A7",0.3296,"LB","GacA"
"GC_I/I1",0,"A8",0.2775,"LB","GacA"
"GC_I/I1",0,"A9",0.2954,"LB","GacA"
"GC_I/I1",0,"A10",0.2817,"LB","tssB"
"GC_I/I1",0,"A11",0.29,"LB","tssB"
"GC_I/I1",0,"A12",0.2915,"LB","tssB"
"GC_I/I1",0,"B1",0.2554,"LB","tagQ"
"GC_I/I1",0,"B2",0.2796,"LB","tagQ"
"GC_I/I1",0,"B3",0.2619,"LB","tagQ"
"GC_I/I1",0,"B4",0.3051,"LB","PPRCHAO_1950"
"GC_I/I1",0,"B5",0.2957,"LB","PPRCHAO_1950"
"GC_I/I1",0,"B6",0.2922,"LB","PPRCHAO_1950"
"GC_I/I1",0,"B7",0.3119,"LB","hcn"
"GC_I/I1",0,"B8",0.2967,"LB","hcn"
"GC_I/I1",0,"B9",0.298,"LB","hcn"
"GC_I/I1",0,"B10",0.3101,"LB","PhzA"
"GC_I/I1",0,"B11",0.3033,"LB","PhzA"
"GC_I/I1",0,"B12",0.2847,"LB","PhzA"
"GC_I/I1",0,"C1",0.29,"LB","PhzB"
"GC_I/I1",0,"C2",0.2942,"LB","PhzB"
"GC_I/I1",0,"C3",0.2877,"LB","PhzB"
"GC_I/I1",0,"C4",0.2721,"LB","mexB"
"GC_I/I1",0,"C5",0.2873,"LB","mexB"
"GC_I/I1",0,"C6",0.3294,"LB","mexB"
"GC_I/I1",0,"C7",0.2964,"LB","VgrG1b"
"GC_I/I1",0,"C8",0.2901,"LB","VgrG1b"
"GC_I/I1",0,"C9",0.3065,"LB","VgrG1b"
"GC_I/I1",0,"C10",0.28,"LB","anr"
"GC_I/I1",0,"C11",0.2876,"LB","anr"
"GC_I/I1",0,"C12",0.2744,"LB","anr"
"GC_I/I1",0,"D1",0.2697,"LB","fetA"
"GC_I/I1",0,"D2",0.271,"LB","fetA"
"GC_I/I1",0,"D3",0.3009,"LB","fetA"
"GC_I/I1",0,"D4",0.3068,"LB","pvdL"
"GC_I/I1",0,"D5",0.2868,"LB","pvdL"
"GC_I/I1",0,"D6",0.3116,"LB","pvdL"
"GC_I/I1",0,"E1",0.2688,"LB","PAO1"
"GC_I/I1",0,"E2",0.276,"LB","PAO1"
"GC_I/I1",0,"E3",0.2787,"LB","PAO1"
"GC_I/I1",0,"E4",0.2816,"LB","tse5"
"GC_I/I1",0,"E5",0.2966,"LB","tse5"
"GC_I/I1",0,"E6",0.2967,"LB","tse5"
"GC_I/I1",0,"E7",0.3094,"LB","GacA"
"GC_I/I1",0,"E8",0.2964,"LB","GacA"
"GC_I/I1",0,"E9",0.2988,"LB","GacA"
"GC_I/I1",0,"E10",0.2662,"LB","tssB"
"GC_I/I1",0,"E11",0.3058,"LB","tssB"
"GC_I/I1",0,"E12",0.3033,"LB","tssB"
"GC_I/I1",0,"F1",0.2587,"LB","tagQ"
"GC_I/I1",0,"F2",0.2994,"LB","tagQ"
"GC_I/I1",0,"F3",0.272,"LB","tagQ"
"GC_I/I1",0,"F4",0.2915,"LB","PPRCHAO_1950"
"GC_I/I1",0,"F5",0.2882,"LB","PPRCHAO_1950"
"GC_I/I1",0,"F6",0.309,"LB","PPRCHAO_1950"
"GC_I/I1",0,"F7",0.2842,"LB","hcn"
"GC_I/I1",0,"F8",0.286,"LB","hcn"
"GC_I/I1",0,"F9",0.2675,"LB","hcn"
"GC_I/I1",0,"F10",0.3051,"LB","PhzA"
"GC_I/I1",0,"F11",0.284,"LB","PhzA"
"GC_I/I1",0,"F12",0.2795,"LB","PhzA"
"GC_I/I1",0,"G1",0.2743,"LB","PhzB"
"GC_I/I1",0,"G2",0.2681,"LB","PhzB"
"GC_I/I1",0,"G3",0.2763,"LB","PhzB"
"GC_I/I1",0,"G4",0.2801,"LB","mexB"
"GC_I/I1",0,"G5",0.2941,"LB","mexB"
"GC_I/I1",0,"G6",0.294,"LB","mexB"
"GC_I/I1",0,"G7",0.3056,"LB","VgrG1b"
"GC_I/I1",0,"G8",0.287,"LB","VgrG1b"
"GC_I/I1",0,"G9",0.3162,"LB","VgrG1b"
"GC_I/I1",0,"G10",0.2878,"LB","anr"
"GC_I/I1",0,"G11",0.2919,"LB","anr"
"GC_I/I1",0,"G12",0.3211,"LB","anr"
"GC_I/I1",0,"H1",0.2784,"LB","fetA"
"GC_I/I1",0,"H2",0.2628,"LB","fetA"
"GC_I/I1",0,"H3",0.2736,"LB","fetA"
"GC_I/I1",0,"H4",0.276,"LB","pvdL"
